    0.49370E-05    0.28747E+02
    0.49419E-05    0.28774E+02
    0.49468E-05    0.28802E+02
    0.49518E-05    0.28830E+02
    0.49567E-05    0.28858E+02
    0.49617E-05    0.28886E+02
    0.49667E-05    0.28914E+02
    0.49716E-05    0.28942E+02
    0.49766E-05    0.28970E+02
    0.49816E-05    0.28999E+02
    0.49866E-05    0.29027E+02
    0.49916E-05    0.29055E+02
    0.49966E-05    0.29083E+02
    0.50016E-05    0.29111E+02
    0.50066E-05    0.29140E+02
    0.50116E-05    0.29168E+02
    0.50166E-05    0.29196E+02
    0.50216E-05    0.29225E+02
    0.50266E-05    0.29253E+02
    0.50317E-05    0.29281E+02
    0.50367E-05    0.29310E+02
    0.50417E-05    0.29338E+02
    0.50468E-05    0.29367E+02
    0.50518E-05    0.29395E+02
    0.50569E-05    0.29424E+02
    0.50619E-05    0.29452E+02
    0.50670E-05    0.29481E+02
    0.50721E-05    0.29509E+02
    0.50772E-05    0.29538E+02
    0.50822E-05    0.29567E+02
    0.50873E-05    0.29595E+02
    0.50924E-05    0.29624E+02
    0.50975E-05    0.29653E+02
    0.51026E-05    0.29682E+02
    0.51077E-05    0.29710E+02
    0.51128E-05    0.29739E+02
    0.51179E-05    0.29768E+02
    0.51231E-05    0.29797E+02
    0.51282E-05    0.29826E+02
    0.51333E-05    0.29855E+02
    0.51384E-05    0.29884E+02
    0.51436E-05    0.29913E+02
    0.51487E-05    0.29942E+02
    0.51539E-05    0.29971E+02
    0.51590E-05    0.30000E+02
    0.51642E-05    0.30029E+02
    0.51694E-05    0.30058E+02
    0.51745E-05    0.30087E+02
    0.51797E-05    0.30117E+02
    0.51849E-05    0.30146E+02
    0.51901E-05    0.30175E+02
    0.51953E-05    0.30204E+02
    0.52005E-05    0.30234E+02
    0.52057E-05    0.30263E+02
    0.52109E-05    0.30292E+02
    0.52161E-05    0.30322E+02
    0.52213E-05    0.30351E+02
    0.52265E-05    0.30381E+02
    0.52318E-05    0.30410E+02
    0.52370E-05    0.30440E+02
    0.52422E-05    0.30469E+02
    0.52475E-05    0.30499E+02
    0.52527E-05    0.30528E+02
    0.52580E-05    0.30558E+02
    0.52633E-05    0.30588E+02
    0.52685E-05    0.30617E+02
    0.52738E-05    0.30647E+02
    0.52791E-05    0.30677E+02
    0.52844E-05    0.30707E+02
    0.52896E-05    0.30736E+02
    0.52949E-05    0.30766E+02
    0.53002E-05    0.30796E+02
    0.53055E-05    0.30826E+02
    0.53108E-05    0.30856E+02
    0.53162E-05    0.30886E+02
    0.53215E-05    0.30916E+02
